time,seconds_elapsed,z,y,x
1772555891713422800,0.0664228515625,-0.022953005564212797,-0.027150375055661424,-0.010138701139972544
1772555891723353900,0.076353759765625,-0.012929039677977561,-0.02231449759812094,-0.009086073114769532
1772555891733284600,0.08628466796875,-0.018017887249588964,-0.020285649518482385,-0.014833074067858979
1772555891743216600,0.096216552734375,-0.014577975928783416,-0.023662770401919258,-0.014665220387396401
1772555891753148000,0.10614794921875,-0.01742342848777771,-0.020601638398785142,-0.017431917754909956
1772555891763078700,0.11607861328125,-0.018023147946596145,-0.026018713277764616,-0.02200317119320389
1772555891773010700,0.1260107421875,-0.010392214676737784,-0.02222500181691721,-0.00818944393545389
1772555891782941700,0.135941650390625,-0.020269465568661688,-0.02210212435591966,-0.010383378349733538
1772555891792872700,0.145872802734375,-0.013387304839491843,-0.024559536578552796,-0.011259581228950991
1772555891802804700,0.1558046875,-0.008600070562958717,-0.01742164752264507,-0.011835463154455645
1772555891812735700,0.16573583984375,-0.019376316121220587,-0.02086909369593486,-0.00849527218134608
1772555891822666800,0.175666748046875,-0.019229016605019567,-0.01803235416635871,-0.014001139588630758
1772555891832598800,0.185598876953125,-0.015340776994824409,-0.015909114934690296,-0.012963882662495598
1772555891842529800,0.19552978515625,-0.026564766320586203,-0.012704272745084016,-0.006436997077823616
1772555891852460800,0.205460693359375,-0.02327449260354042,-0.017003714371519162,-0.013754247588897123
1772555891862392800,0.215392822265625,-0.025671616873145103,-0.014550202005868778,-0.018665190443489698
1772555891872324000,0.225323974609375,-0.02103402020037174,-0.013487696474045515,-0.01243464832373429
1772555891882254800,0.2352548828125,-0.018640987583994864,-0.01941765277860686,-0.010314897957094945
1772555891892187000,0.245186767578125,-0.023430559948086738,-0.015164077854203059,-0.015062649606610648
1772555891902118000,0.255117919921875,-0.02253331884741783,-0.01905664657964371,-0.003750475107319653
1772555891912049000,0.265048828125,-0.019989479583501814,-0.016942430904647334,-0.009735983824287541
1772555891921981000,0.27498095703125,-0.02313070021867752,-0.01929747873134911,-0.011705502932122908
1772555891931912000,0.284911865234375,-0.021336802539229392,-0.012198606511577963,-0.004947315642493777
1772555891941842700,0.2948427734375,-0.009516600885987282,-0.01606133722118102,-0.012311779995891265
1772555891951774700,0.304774658203125,-0.01685001251399517,-0.016615126045886427,-0.008925681221554987
1772555891961706000,0.3147060546875,-0.024482114827632902,-0.01624091330547817,-0.008037185116345063
1772555891971636700,0.32463671875,-0.0190969146579504,-0.01624164395784028,-0.009597703298181295
1772555891981567700,0.334567626953125,-0.015358312651515006,-0.017922619314724577,-0.010142057574260979
1772555891991499800,0.344499755859375,-0.008476151922345162,-0.026524498242279513,-0.01816118187753018
1772555892001431000,0.35443115234375,-0.012218261060118675,-0.01552373234629631,-0.0024763863511616364
1772555892011361800,0.36436181640625,-0.027182605957984923,-0.021269673853460697,-0.006830005850247107
1772555892021293800,0.3742939453125,-0.02059972043633461,-0.020748956181295214,-0.0199471063130768
1772555892031225000,0.38422509765625,-0.009976035091280937,-0.01287738255597651,-0.012946397238154895
1772555892041155800,0.39415576171875,-0.017759528574347493,-0.016155125585012135,-0.013515082237892783
1772555892051088000,0.404087890625,-0.016414543706178664,-0.011747784871002658,-0.00023904205341823397
1772555892061019000,0.414018798828125,-0.010879705932736397,-0.0172900296327658,-0.017785494132665915
1772555892070950000,0.423949951171875,-0.014622399592399596,-0.02075838159676641,-0.01602604671209119
1772555892080882000,0.4338818359375,-0.02015957545340061,-0.015504488789709284,-0.016241392796090805
1772555892090813000,0.44381298828125,-0.015521978780627249,-0.015135399748990312,-0.008553299678629264
1772555892100743700,0.45374365234375,-0.010732406416535377,-0.01271783547955565,-0.010883660588646307
1772555892110675700,0.46367578125,-0.015671616384387015,-0.013053634172026067,-0.011668025032524018
1772555892120607000,0.47360693359375,-0.02285655945241451,-0.011217870112229139,-0.003913739377632737
1772555892130538000,0.4835380859375,-0.016272504886984823,-0.01414068049006164,-0.009694797863950952
1772555892140469800,0.4934697265625,-0.01702244647145271,-0.021630606987187637,-0.010059055465925485
1772555892150400800,0.50340087890625,-0.01747252832651138,-0.015028788436204194,-0.00812653020049911
1772555892160332000,0.51333203125,-0.011936521509289741,-0.014379384616762398,-0.00577977071153
1772555892170264000,0.52326416015625,-0.013583704194426536,-0.01390696306573227,-0.007443046014942228
1772555892180194800,0.53319482421875,-0.011789806514978409,-0.018823166617332025,-0.013138586208852939
1772555892190125800,0.543125732421875,-0.013735679885745047,-0.021243406901042906,-0.014958129786211066
1772555892200057900,0.553057861328125,-0.018674305331707,-0.014647844560910015,-0.005898734615813009
1772555892209988900,0.56298876953125,-0.01927519383430481,-0.014201452500279993,-0.0035083186482079325
1772555892219920000,0.572919921875,-0.01927694739997387,-0.015705125928344204,-0.015343932499713263
1772555892229852000,0.582851806640625,-0.012545008796453476,-0.01553798006735742,-0.01055952036792878
1772555892239783000,0.592782958984375,-0.015687398475408555,-0.015546099441731348,-0.007519490518327802
1772555892249714000,0.6027138671875,-0.009701894325017928,-0.013320806341385468,-0.011546544944168999
1772555892259645000,0.61264501953125,-0.01045125138759613,-0.01163428715970367,-0.007705249748239293
1772555892269576700,0.62257666015625,-0.018083353701233863,-0.012563832227932288,-0.0029599686170229686
1772555892279508000,0.632508056640625,-0.02721241657435894,-0.017535501426970586,-0.006148887151712551
1772555892289439000,0.64243896484375,-0.02182663188278675,-0.014657461772626265,-0.011241346885939129
1772555892299371000,0.65237109375,-0.005816577324271202,-0.009562522386945783,-0.012621658795815891
1772555892309301800,0.6623017578125,-0.021528525719046593,-0.011628231878252699,-0.013366933338320813
1772555892319233000,0.67223291015625,-0.016291209587454794,-0.014219399148924275,-0.00014248634376563132
1772555892329165000,0.6821650390625,-0.007912672820687293,-0.015716971629764882,-0.005495907702273689
1772555892339095800,0.692095703125,-0.018238836523890495,-0.01608662692606449,-0.009796691902424208
1772555892349026800,0.70202685546875,-0.018240005567669866,-0.012086798433866352,-0.008799913117149845
1772555892358958800,0.711958740234375,-0.017492986592650413,-0.011541037651989609,-0.0048887492890935386
1772555892368889900,0.721889892578125,-0.028417700710892675,-0.014617184561165049,-0.004387092510424554
1772555892378820900,0.73182080078125,-0.021686931151151657,-0.01053834514915943,-0.013636717589874751
1772555892388753000,0.7417529296875,-0.01375730719566345,-0.012760277248639613,-0.002979600332677364
1772555892398684000,0.751683837890625,-0.014059505012631415,-0.011512295614695175,-0.008202609377703628
1772555892408615000,0.761614990234375,-0.01870119333863258,-0.012179098093509673,-0.0017277690741000697
1772555892418547000,0.771546875,-0.016460136413574217,-0.010084281238727271,-0.0076317963529611
1772555892428478000,0.78147802734375,-0.020203414595127103,-0.008979790595546364,-0.003938161432836204
1772555892438409000,0.791408935546875,-0.011675240224599837,-0.020407102207373826,-0.02024962835703045
1772555892448341000,0.801341064453125,-0.019306173494458196,-0.016743218538118526,-0.0030120001983596012
1772555892458272000,0.81127197265625,-0.02140226899087429,-0.014455299397185444,-0.006880900353845209
1772555892468202800,0.82120263671875,-0.021103578305244446,-0.018349703886685893,-0.006803985493001528
1772555892478134800,0.831134765625,-0.023947861820459364,-0.017145689258631316,-0.005487596531654708
1772555892488066000,0.841066162109375,-0.013773673808574676,-0.01874176281103864,0.0013425965482601896
1772555892497996800,0.850996826171875,-0.014523030871152877,-0.013330816278746351,-0.005427888533938676
1772555892507928800,0.8609287109375,-0.016017653343081473,-0.012011029783915727,-0.013197088630171492
1772555892517859800,0.87085986328125,-0.014072949016094207,-0.01200764138358645,-0.007489908230816945
1772555892527790800,0.880790771484375,-0.017516367468237877,-0.019026890762196852,-0.00815216239867732
1772555892537721900,0.890721923828125,-0.02125672304034233,-0.015272050007013604,-0.010489437106670812
1772555892547654000,0.90065380859375,-0.01662029541134834,-0.008911191471898929,-0.01477755362149328
1772555892557585000,0.9105849609375,-0.016772271102666853,-0.013355092203477397,-0.008366622566687874
1772555892567516000,0.920515869140625,-0.0082435122102499,-0.013190339228976517,-0.013840195139567368
1772555892577448000,0.930447998046875,-0.012582418197393417,-0.009926779988920316,-0.002841283273953013
1772555892587379000,0.94037890625,-0.014526538002490997,-0.017566855546459554,-0.008669208542723208
1772555892597310000,0.95031005859375,-0.012731471279263495,-0.017179399731988086,-0.005127206820622086
1772555892607242000,0.960241943359375,-0.015724807876348494,-0.012476875463686882,-0.01129369356110692
1772555892617173000,0.970173095703125,-0.027846038302779198,-0.01429706749501638,-0.005634211061266251
1772555892627103700,0.980103759765625,-0.020364742636680602,-0.008997773776808753,-0.019161655023810453
1772555892637035800,0.990035888671875,-0.020364742636680602,-0.011471561745507642,-0.013259541140822693
1772555892646967000,0.999967041015625,-0.01348199738562107,-0.010951045002741739,-0.0059470718361437315
1772555892656897800,1.009897705078125,-0.019618308183550835,-0.01545741651128046,-0.007890360524179414
1772555892666829800,1.019829833984375,-0.013484335473179817,-0.012853435424808412,-0.0037491234004497524
1772555892676760800,1.0297607421875,-0.016177812340855597,-0.010789954423205926,-0.005977814034279436
1772555892686692000,1.039692138671875,-0.01737491317093372,-0.0113018312017899,-0.0012353733141208067
1772555892696623900,1.049623779296875,-0.012437456768751144,-0.01692165297809988,-0.0015527960996842012
1772555892706555000,1.059554931640625,-0.0290483998298645,-0.01264599408605136,-0.00554789361783769
1772555892716486000,1.06948583984375,-0.02037000333368778,-0.005076517813000828,-0.012778264996479265
1772555892726417700,1.079417724609375,-0.01737725125849247,-0.008114479003101588,-0.005117484577628784
1772555892736349000,1.089348876953125,-0.020970307314395902,-0.009179276956710964,-0.0009171148449182509
1772555892746280000,1.099280029296875,-0.016482932767271995,-0.014958664075750857,-0.004698861873336136
1772555892756212000,1.1092119140625,-0.014389759880304335,-0.012040602938272058,-0.011899376969831064
1772555892766142700,1.119142822265625,-0.016633739414811135,-0.01860153235644102,-0.005080193907697685
1772555892776074000,1.129073974609375,-0.02292027233839035,-0.008737771133752539,-0.009564084156369789
1772555892786004700,1.139004638671875,-0.01843114422559738,-0.009171641639526933,-0.0035393531072884796
1772555892795936800,1.148936767578125,-0.014840426257252692,-0.021579105128813534,-0.012336950969765894
1772555892805868000,1.158867919921875,-0.021125790137052534,-0.005487601098231971,-0.004675526663521304
1772555892815799000,1.168799072265625,-0.016636662024259567,-0.010193924758816137,-0.005459228953695856
1772555892825730800,1.178730712890625,-0.010651157873868942,-0.014678851620526984,-0.010998738335678352
1772555892835661800,1.188661865234375,-0.02366962940096855,-0.011150595295988023,-0.0065947540559573095
1772555892845593000,1.198593017578125,-0.019629998621344565,-0.00900419438444078,-0.009617362413299269
1772555892855524900,1.20852490234375,-0.01618950277864933,-0.007378721207613125,-0.009930583947780541
1772555892865455600,1.21845556640625,-0.013943769678473472,-0.01308427590546198,-0.002767861844715662
1772555892875386400,1.228386474609375,-0.012298340559005737,-0.009700058560958132,-0.00011198160764761268
1772555892885318400,1.238318359375,-0.009306173005700111,-0.009638665496231987,0.006362689732597209
1772555892895249700,1.248249755859375,-0.011851765835285187,-0.01667819961104542,-0.012091451776097528
1772555892905180400,1.258180419921875,-0.011702128231525421,-0.012938702555466442,-0.013457680361694655
1772555892915112400,1.268112548828125,-0.024123802909255025,-0.01490994782950729,0.0008623935495736077
1772555892925043500,1.27804345703125,-0.023527006059885024,-0.010864663627231493,-0.013160537745757027
1772555892934974700,1.287974609375,-0.01664484533071518,-0.011279537171591072,-0.0015460558316437527
1772555892944906500,1.297906494140625,-0.017243980267643927,-0.01463984391754493,-0.008843217969336547
1772555892954837500,1.30783740234375,-0.008714636853337288,-0.009535040724975987,-0.008019005572260356
1772555892964768800,1.317768798828125,-0.013652093255519866,-0.007435401564603671,-0.001383371516643092
1772555892974700500,1.327700439453125,-0.013054711884260177,-0.008510876175854354,-0.0046160606944002204
1772555892984631600,1.337631591796875,-0.016048048481345174,-0.011640488571627064,-0.014627815553033724
1772555892994562600,1.3475625,-0.017095511707663536,-0.009228815186861902,-0.010004594465484842
1772555893004494600,1.35749462890625,-0.01963993549346924,-0.012049672160716727,-0.009042457735328935
1772555893014425600,1.367425537109375,-0.021585808864235875,-0.009328978492552414,-0.0034623697477858513
1772555893024356600,1.377356689453125,-0.02383037292063236,-0.008486892512068151,-0.00539021427151747
1772555893034287400,1.387287353515625,-0.018292028015851974,-0.010218365080328657,-0.006985114213568158
1772555893044219400,1.397219482421875,-0.011557166802883148,-0.0149474850946106,-0.013985836988221853
1772555893054150700,1.407150634765625,-0.014997662645578384,-0.012783000537101179,-0.00966506487939041
1772555893064081700,1.41708154296875,-0.025173604223132133,-0.009986063294950873,-0.0076127308928873386
1772555893074013400,1.427013427734375,-0.012602876463532448,-0.010207706688996404,-0.002129641572991386
1772555893083944400,1.4369443359375,-0.014099252501130104,-0.006620870311325415,-0.005377007730072364
1772555893093875700,1.446875732421875,-0.019936288091540334,-0.007714666030555963,-0.0056858499169582495
1772555893103807500,1.456807373046875,-0.011108253991603851,-0.013295288307638839,0.004029529510717839
1772555893113738500,1.466738525390625,-0.014549334356188773,-0.006520633940398693,-0.0016543613445945083
1772555893123669500,1.47666943359375,-0.020535423028469085,-0.008606290241191163,-0.002564685689122416
1772555893133601800,1.486601806640625,-0.011857611054182052,-0.008382591887377201,-0.0037684034896548835
1772555893143532500,1.496532470703125,-0.018891747474670408,-0.004201689473539591,-0.014413734410936012
