time,seconds_elapsed,z,y,x
1772445462569621000,0.05362109375,-0.3711936117827892,-0.38566111307442186,-0.815265120510757
1772445462579553000,0.063552978515625,-0.5397171177983283,-0.3552694819420576,-0.9155163236804306
1772445462589485000,0.073485107421875,-0.5060696997404098,-0.4108136745095253,-0.8514346043922006
1772445462599417000,0.0834169921875,-0.2872843254745006,-0.41055765392184257,-0.6007625015979632
1772445462609350000,0.093349853515625,-0.19104162729382515,-0.38441695823222394,-0.4307636623328551
1772445462619282000,0.103281982421875,-0.2586871765434742,-0.4111638031214475,-0.40876642312351613
1772445462629214000,0.1132138671875,-0.33054069887697696,-0.40508886712193487,-0.4205677008805796
1772445462639146000,0.12314599609375,-0.4235597588360309,-0.3946694721773267,-0.3251440274652094
1772445462649078000,0.133078125,-0.4611503615617752,-0.41697102809548375,-0.08796316480897366
1772445462659010000,0.143010009765625,-0.34914836871325966,-0.3892857333123684,0.1933623618589714
1772445462668942000,0.152942138671875,-0.2456540919691324,-0.3376274422675371,0.3681170538816601
1772445462678875000,0.162875,-0.10907529174685478,-0.21582243280708788,0.4280036230349913
1772445462688806700,0.172806640625,0.1128255841910839,-0.061553954376280307,0.28720530542153866
1772445462698738700,0.18273876953125,0.3455225794315338,-0.0035343116059899328,-0.01468231308609247
1772445462708670700,0.192670654296875,0.7057225035130977,0.017731471523642538,-0.3007400193750858
1772445462718602500,0.2026025390625,1.1187322267621755,-0.03137304338514805,-0.469313794273138
1772445462728534500,0.212534423828125,1.4957815788358448,-0.10618249291479587,-0.5014140194216743
1772445462738467300,0.22246728515625,1.7751818730622528,-0.14652765504568815,-0.4727665285428986
1772445462748399600,0.232399658203125,1.908613607430458,-0.12258885331451892,-0.42524559303112325
1772445462758331600,0.24233154296875,1.9952444276571273,-0.09088175566941499,-0.43906672271061686
1772445462768263700,0.252263671875,2.089023366072774,-0.04199088351130485,-0.5184277345973998
1772445462778195700,0.26219580078125,2.1884365109831094,0.034816461837291715,-0.5017766421889885
1772445462788127500,0.27212744140625,2.2237311117261647,0.05368833556771278,-0.45587852210607377
1772445462798060500,0.282060546875,2.0319336976289746,0.05373831218928098,-0.577622193300724
1772445462807992600,0.29199267578125,1.76410927490592,0.14762538715451956,-0.4663284948520362
1772445462817924600,0.301924560546875,1.6504636065036058,0.360695890904963,-0.12375892000719904
