time,seconds_elapsed,z,y,x
1772565876320484400,0.108484375,-0.022757190731167793,-0.024778960616048423,0.03272809298960492
1772565876330415400,0.118415283203125,0.004323708418011665,-0.012947196389175951,-0.04613403859748505
1772565876340347600,0.12834765625,-0.014954992547631264,-0.026539942406583576,-0.05122764454260468
1772565876350278400,0.1382783203125,-0.02212473804652691,-0.04251965662576258,-0.005443643225496634
1772565876360210400,0.14821044921875,-0.004776128360629081,-0.01611019046474248,-0.006616933921724557
1772565876370141400,0.158141357421875,-0.020190555113554,-0.018002068625949323,-0.026334756956994533
1772565876380073500,0.168073486328125,-0.013294365859031676,-0.046274406049400564,-0.05389553944445215
1772565876390005200,0.178005126953125,0.005566401955485344,-0.027961645772773772,-0.01830916181374341
1772565876399936500,0.1879365234375,0.002122398981451988,-0.024139858994912354,-0.01025169196119532
1772565876409868500,0.19786865234375,-0.0013163432955741882,-0.027325156233832238,-0.03878374889991246
1772565876419799600,0.207799560546875,-0.00864040257334709,-0.030080976014304903,-0.03599668459780514
1772565876429731300,0.2177314453125,-0.013274492114782332,-0.01743194058779627,-0.023456242378614843
1772565876439662300,0.227662353515625,-0.014924012887477875,-0.018295151554699986,-0.027393837555870413
1772565876449594600,0.2375947265625,-0.011781038686633109,-0.030217260946147143,-0.0221230027471669
1772565876459525400,0.247525390625,-0.0072936641395092,-0.027974633118510246,-0.018746868244418874
1772565876469457400,0.25745751953125,-0.012532733836770057,-0.021923753848019985,-0.020176225194102154
1772565876479390500,0.267390380859375,-0.0361807359278202,-0.01916055447869003,0.014490023650694638
1772565876489321500,0.277321533203125,-0.01733575020432472,-0.02018509348714724,-0.007147990324813872
1772565876499253500,0.28725341796875,-0.013455109378695488,-0.03762622202839702,-0.03900595854953862
1772565876509185500,0.297185546875,-0.02737491365969181,-0.017161453083343804,-0.013676259582396596
1772565876519116300,0.3071162109375,-0.019154197803139685,-0.01111196205234155,-0.015613164195418357
1772565876529048300,0.31704833984375,-0.02215688675045967,-0.037019963230937716,-0.03599688552720472
1772565876538979600,0.3269794921875,-0.007794014877080917,-0.027239103651884942,-0.040279823543410746
1772565876548911400,0.336911376953125,-0.013334697869420051,-0.014840115729998797,-0.015597592166950926
1772565876558842400,0.34684228515625,-0.008550386202335357,-0.027040640204027293,-0.003278966871742159
1772565876568774400,0.3567744140625,-0.005864508119225502,-0.026454602210689335,-0.039886157183861355
